2025-03-03 22:36:38,394 INFO    MainThread:32312 [wandb_init.py:setup_run_log_directory():647] Logging user logs to d:\GitHub\AIO_Daily\wandb\run-20250303_223638-374afxh9\logs\debug.log
2025-03-03 22:36:38,395 INFO    MainThread:32312 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to d:\GitHub\AIO_Daily\wandb\run-20250303_223638-374afxh9\logs\debug-internal.log
2025-03-03 22:36:38,395 INFO    MainThread:32312 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001DDFA450AD0>
2025-03-03 22:36:38,395 INFO    MainThread:32312 [wandb_init.py:init():761] calling init triggers
2025-03-03 22:36:38,395 INFO    MainThread:32312 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'epochs': 1000, '_wandb': {}}
2025-03-03 22:36:38,395 INFO    MainThread:32312 [wandb_init.py:init():784] starting backend
2025-03-03 22:36:38,395 INFO    MainThread:32312 [wandb_init.py:init():788] sending inform_init request
2025-03-03 22:36:38,398 INFO    MainThread:32312 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-03-03 22:36:38,398 INFO    MainThread:32312 [wandb_init.py:init():803] backend started and connected
2025-03-03 22:36:38,403 INFO    MainThread:32312 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-03-03 22:36:38,405 INFO    MainThread:32312 [wandb_init.py:init():896] updated telemetry
2025-03-03 22:36:38,507 INFO    MainThread:32312 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-03-03 22:36:38,952 INFO    MainThread:32312 [wandb_init.py:init():995] starting run threads in backend
2025-03-03 22:36:39,311 INFO    MainThread:32312 [wandb_run.py:_console_start():2377] atexit reg
2025-03-03 22:36:39,311 INFO    MainThread:32312 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-03 22:36:39,311 INFO    MainThread:32312 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-03 22:36:39,311 INFO    MainThread:32312 [wandb_run.py:_redirect():2317] Redirects installed.
2025-03-03 22:36:39,312 INFO    MainThread:32312 [wandb_init.py:init():1037] run started, returning control to user process
2025-03-03 22:37:28,915 INFO    MainThread:32312 [wandb_run.py:_finish():2112] finishing run vthieu0204-vietnam-national-university-hanoi/Linear Regression/374afxh9
2025-03-03 22:37:28,915 INFO    MainThread:32312 [jupyter.py:save_history():458] not saving jupyter history
2025-03-03 22:37:28,915 INFO    MainThread:32312 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-03 22:37:28,915 INFO    MainThread:32312 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-03-03 22:37:28,915 INFO    MainThread:32312 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-03-03 22:37:28,916 INFO    MainThread:32312 [wandb_run.py:_restore():2324] restore
2025-03-03 22:37:28,916 INFO    MainThread:32312 [wandb_run.py:_restore():2330] restore done
2025-03-03 22:37:33,559 INFO    MsgRouterThr:32312 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-03-03 22:37:33,559 INFO    MainThread:32312 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-03-03 22:37:33,559 INFO    MainThread:32312 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-03-03 22:37:33,561 INFO    MainThread:32312 [wandb_run.py:_footer_sync_info():3919] logging synced files
